Date,Open,High,Low,Close,Volume
20151103,28400,28800,25150,27150,5434658
20151102,23050,23650,22750,22950,294555
20151030,23250,23650,22750,23050,283358
20151029,23650,23900,23200,23300,313892
20151028,24050,24150,23550,23550,319426
20151027,23700,24450,23650,23750,466218
20151026,23700,24800,23550,23700,400622
20151023,24450,24700,23600,23850,541037
20151022,23100,25250,23050,24300,1265497
20151021,24050,24250,23250,23350,546340
20151020,22500,27500,22050,23900,3163925
20151019,21650,23700,21300,22400,1241455
20151016,22300,22350,21500,21750,514329
20151015,22150,22600,21900,22250,344665
20151014,22300,23200,21900,22300,840651
20151013,20800,23650,20700,23100,2581580
20151012,20650,21850,20050,20700,928920
20151008,24850,24900,19400,21200,3030672
20151007,23350,25250,23050,24600,949238
20151006,24100,24400,23500,23500,359085
20151005,24700,24700,24100,24150,248400
20151002,24000,24400,23450,24400,389529
20151001,23150,25450,23100,24100,1040360
20150930,22800,23200,22100,23000,394238
20150925,23650,23700,22750,22850,509356
20150924,22600,24200,21500,23550,1186154
20150923,24700,24950,23900,24050,527969
20150922,25200,25250,24650,24750,441481
20150921,24850,25500,24650,25000,513027
20150918,25100,25350,24750,25200,519591
20150917,24900,25500,24750,24900,611382
20150916,24900,25600,24400,24900,896105
20150915,26850,27150,19750,24900,2866658
20150914,27900,29000,26550,27100,1332006
20150911,26000,31950,25500,27500,4271665
20150910,24800,25700,24250,25700,732609
20150909,24850,25250,24500,25150,469299
20150908,24500,25200,23800,24500,579735
20150907,23800,24800,23200,24250,502227
20150904,25800,25950,24050,24450,750529
20150903,26300,26650,25600,25750,497128
20150902,25550,26300,25250,25950,896878
20150901,28100,28600,26750,26750,1305789
20150831,27500,28300,26700,27700,1169823
20150828,27050,27700,26700,27300,970059
20150827,27300,27750,26650,26900,1034785
20150826,26600,28250,25650,26950,1754722
20150825,26350,28950,25400,26800,4173715
20150824,22150,24250,21850,23000,706778
20150821,23100,24000,20800,22700,1145407
20150820,24850,25550,24600,24800,445796
20150819,24800,26450,24550,25300,904460
20150818,25950,26000,24700,24950,624411
20150817,26350,26650,25400,25600,709604
20150813,26450,27300,26050,26800,643407
20150812,26900,27250,25250,26450,950881
20150811,28400,28700,27450,27450,772832
20150810,27800,29050,27650,28250,1184120
20150807,27100,29500,26400,27750,3202655
20150806,29350,29400,27200,27300,2084203
20150805,30000,30450,28300,29000,4886361
20150804,30150,30150,29950,30150,1734144
20150803,23650,24200,23100,23200,479948
20150731,22800,23850,22150,23600,961265
20150730,24950,25550,23200,23200,2179756
20150729,27900,28900,27050,27050,1127771
